鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三星鄉,土地,尾塹一段232地號,935.82,,特定農業區,農牧用地,1100808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6650000,7106,,0.0,0,,RPROMLSJIIGGFAG77DA,0.0,0.0,0.0,無,024
三星鄉,土地,大洲一段121地號,3451.33,,特定農業區,農牧用地,1100903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19830000,5746,,0.0,0,,RPSOMLSJIIGGFAG87DA,0.0,0.0,0.0,無,
五結鄉,土地,大吉一段638地號,680.12,,特定農業區,農牧用地,1101001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4148732,6100,,0.0,0,,RPWOMLSJIIGGFAG28DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉丸山一路２７７巷１號,150.62,,特定農業區,甲種建築用地,1100806,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060523,214.3,4,2,5,有,無,9000000,41997,,0.0,0,,RPQNMLMLRHGGFAG97DA,191.94,22.36,0.0,無,
蘇澳鎮,土地,蘇港段222地號,2251.58,都市：其他:商業區,,,1050928,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,114425420,50820,,0.0,0,,RPXNMLKKRHGGFAG38DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路６號,84.57,都市：其他:住宅區,,,1100904,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080114,194.11,4,2,5,有,無,15600000,80367,,0.0,0,其他增建；,RPXOMLLKRHGGFAG58DA,179.0,15.11,0.0,有,
蘇澳鎮,土地,蘇港段65地號,1600.56,都市：其他:人行廣場用地,,,1050928,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,76476740,47781,,0.0,0,,RPVNMLKKRHGGFAG18DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路４９１巷１０號,94.44,,特定農業區,甲種建築用地,1100908,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700722,112.88,4,2,2,有,無,3500000,31006,,0.0,0,增建約2.5坪一樓空地其他增建；,RPOOMLNKRHGGFAG87DA,112.88,0.0,0.0,無,
蘇澳鎮,土地,蘇港段63-1地號,389.96,都市：其他:商業區,,,1050928,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8256480,21173,,0.0,0,,RPWNMLKKRHGGFAG28DA,0.0,0.0,0.0,無,025
冬山鄉,土地,南富段52-10地號,650.0,,特定農業區,農牧用地,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,3692,,0.0,0,,RPPPMLLKRHGGFAG87DA,0.0,0.0,0.0,無,026
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮倉前路５號三樓之２,35.21,都市：其他:住宅區,,,1100908,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051219,117.53,3,1,2,有,無,7546000,64205,升降機械,0.0,0,增建1.5坪陽台其他增建；,RPQPMLLKRHGGFAG97DA,68.92,14.29,0.0,有,027
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正路４０３號,79.0,都市：其他:住宅區,,,1100916,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0591212,96.82,0,0,2,有,無,15800000,163189,,0.0,0,其他增建；,RPTNMLSJIIGGFAG87DA,96.82,0.0,0.0,無,028
三星鄉,土地,大洲一段1121地號,1691.93,,特定農業區,農牧用地,1080409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8700000,5142,,0.0,0,由買方出資興建農舍，購買土地價金870萬元整未登記建物；,RPUNMLRJIIGGFAG87DA,0.0,0.0,0.0,無,
五結鄉,土地,季寶段127地號,439.02,,一般農業區,農牧用地,1100909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,531200,1210,,0.0,0,,RPOOMLRJIIGGFAG37DA,0.0,0.0,0.0,無,
五結鄉,土地,大吉一段470地號,1690.94,,特定農業區,農牧用地,1101001,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10314734,6100,,0.0,0,,RPXOMLSJIIGGFAG38DA,0.0,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮忠孝路８巷１０號,101.18,都市：其他:住宅區,,,1100916,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010727,192.8,5,2,4,有,無,7400000,38382,,0.0,0,1樓後方增建3樓陽台外推3樓夾層增建其他增建；,RPRPMLSJIIGGFAG87DA,176.36,16.44,0.0,無,029
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結中路二段３６１巷１０號,80.22,,特定農業區,甲種建築用地,1101001,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0861113,164.12,4,2,3,有,無,7500000,45698,,0.0,0,1.一、二樓前方增建   2.一樓後方增建其他增建；,RPRNMLMKIIGGFAG17DA,144.79,19.33,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉義成路一段９８０巷３號,80.27,,鄉村區,乙種建築用地,1100915,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680710,97.49,5,2,2,有,無,3500000,35901,,0.0,0,其他增建；,RPSNMLMKIIGGFAG27DA,97.49,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮龍祥二路５巷３３號,66.0,,工業區,丁種建築用地,1100913,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081104,150.13,4,2,3,有,無,7550000,50290,,0.0,0,,RPVNMLMKIIGGFAG57DA,136.18,13.95,0.0,無,
五結鄉,土地,大吉一段538地號,979.71,,特定農業區,農牧用地,1101001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3135082,3200,,0.0,0,,RPUOMLSJIIGGFAG08DA,0.0,0.0,0.0,無,
五結鄉,土地,大吉一段635地號,700.35,,特定農業區,農牧用地,1101001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4272135,6100,,0.0,0,,RPVOMLSJIIGGFAG18DA,0.0,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮光榮路９２巷１７號,117.15,都市：其他:住宅區,,,1100907,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020122,194.66,4,2,3,有,無,8200000,42125,,0.0,0,,RPPOMLMKIIGGFAG07DA,170.82,23.84,0.0,無,030
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉幸福五路６３３號,86.87,,特定農業區,甲種建築用地,1100717,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100701,185.87,4,2,5,有,無,8600000,46269,,0.0,0,,RPVOMLMKIIGGFAG67DA,178.72,7.15,0.0,無,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮重陽街２７巷２７號五樓,20.68,都市：其他:住宅區,,,1100918,土地2建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870512,91.33,3,1,1,有,有,4800000,52557,一樓平面,0.0,0,,RPXOMLMKIIGGFAG87DA,60.78,6.19,0.0,有,031
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉五結中路三段５９８號十一樓之２,41.34,都市：其他:住宅區,,,1100905,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060705,169.76999999999998,2,1,2,有,有,9380000,55251,坡道平面,0.0,0,,RPPPMLMKIIGGFAG17DA,88.92,9.66,0.0,有,032
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉大進二路２８８號,1009.98,,一般農業區,農牧用地,1100707,土地1建物1車位0,全,一層,透天厝,農業用,鋼骨造,1080426,19.44,0,0,0,無,無,3350000,172325,,0.0,0,資材室,RPRNMLNKIIGGFAG27DA,19.44,0.0,0.0,無,
冬山鄉,土地,南富段708地號,1014.0,,特定農業區,農牧用地,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2760000,2722,,0.0,0,,RPSOMLNKIIGGFAG47DA,0.0,0.0,0.0,無,
壯圍鄉,土地,壯濱四段379地號,3561.16,,一般農業區,農牧用地,1100901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,1966,,0.0,0,,RPTNMLRKRHGGFBG78DA,0.0,0.0,0.0,無,
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮頭濱路三段３０１巷５０號四樓之三,45.96,都市：其他:道路,,,1080707,土地4建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100713,114.78999999999999,2,2,2,有,有,5800000,50527,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPXNMLTLRHGGFBG86DA,70.32,7.4,0.0,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉礁溪路二段１３２巷５０號,76.0,,特定農業區,甲種建築用地,1100920,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701224,111.72,3,2,2,有,無,3900000,34909,,0.0,0,壹樓空地。頂樓加蓋；其他增建；,RPRRMLKMRHGGFBG48DA,111.72,0.0,0.0,無,033
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉柴圍路８３之５２號,109.98,,特定農業區,甲種建築用地,1100913,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1061114,253.8,4,2,5,有,無,12800000,50433,,0.0,0,,RPROMLSJIIGGFBG87DA,235.84,17.96,0.0,有,034
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康路６６號十二樓之九,9.8,都市：其他:健康休閒專用區四,,,1100907,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040923,65.5,1,0,1,有,有,6270000,95725,,0.0,0,,RPSOMLSJIIGGFBG97DA,29.9,4.37,0.0,有,035
